;link;cím;jelenlegi rovat;új elsődleges rovat;új másodlagos rovatok vesszővel elválasztva;kategóriák vesszővel elválasztva;
23;https://www.alapjarat.hu/egyeb/mikulas-napi-poszt/;Mikulás-napi poszt;Egyéb;Aktuális;;Aktuális;
24;https://www.alapjarat.hu/tech/pc-s-autos-jatek-need-for-speed-underground-2/;PC-s autós játék: Need for Speed Underground 2;Tech;Tech;;Tech;
25;https://www.alapjarat.hu/media/videok/penteki-autosuldozes-videovalogatas/;Pénteki autósüldözés-videóválogatás;Videók;Média;;Videók;
26;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/veteranauto-interju-foldvari-adammal/;Veteránautó interjú - Földvári Ádámmal;Nagyvilág;Aktuális;;Aktuális;
27;https://www.alapjarat.hu/hasznos-infok/szeretnel-egy-alommunkat-tessek-vezess-teslat/;Szeretnél egy álommunkát? Tessék, vezess Teslát!;Hasznos infók;Aktuális;;Aktuális;
28;https://www.alapjarat.hu/hasznos-infok/egy-lehetseges-alternativa-kozossegi-kozlekedesre-greengo/;Egy biztos, csajozni lehet az új Insigniával!;Hasznos infók;Tech;;Tech;
29;https://www.alapjarat.hu/media/videok/kellemes-unnepeket-kivan-az-alapjarat-blog/;Kellemes Ünnepeket kíván az Alapjárat blog!;Videók;Média;Aktuális;Aktuális,Videók;
30;https://www.alapjarat.hu/tech/onvezeto-autok/;Önvezető autók;Tech;Tech;;Tech;
31;https://www.alapjarat.hu/tech/8-motor-amit-minden-autorajongo-imad/;8 motor, amit minden autó rajongó imád;Tech;El Mondó;;Top;
32;https://www.alapjarat.hu/hasznos-infok/mit-tegyel-az-autoddal-ha-extrem-hideg-van/;Mit tegyél az autóddal, ha extrém hideg van?;Hasznos infók;Hasznos infók;;Hasznos infók;
33;https://www.alapjarat.hu/hasznos-infok/sporolos-alternativa-lpg/;Spórolós alternatíva: LPG;Hasznos infók;Hasznos infók;;Hasznos infók;
34;https://www.alapjarat.hu/hasznos-infok/elindul-nemzeti-tengelysuly-ellenorzo-halozat/;Elindul a Nemzeti Tengelysúly-ellenőrző Hálózat;Hasznos infók;Aktuális;;Aktuális;
35;https://www.alapjarat.hu/egyeb/borbet-a-30-eve-legenda/;Borbet A: 30 éve legenda;Egyéb;El Mondó;;Sztori;
36;https://www.alapjarat.hu/tech/9-utcai-auto-amit-a-motorsportnak-koszonhetunk/;9 utcai autó, amit a motorsportnak köszönhetünk;Tech;El Mondó;;Top;
37;https://www.alapjarat.hu/hasznos-infok/minden-sofort-szondaztatnak-nogradban/;Minden sofőrt szondáztatnak Nógrádban;Hasznos infók;Aktuális;;Aktuális;
38;https://www.alapjarat.hu/tech/a-tesla-motors-tortenete/;A Tesla Motors története;Tech;El Mondó;Tech;Sztori,Tech;
39;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/audi-90-a-csoro-egyetemista-limuzinja/;Audi 90 - A csóró egyetemista limuzinja;Nagyvilág;El Mondó;;Sztori;
40;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/40-ev-utan-tavozik-a-forma-1-ura/;40 év után távozik a Forma-1 ura;Verseny;Rajtrács;;F1;
41;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/schwarzenegger-autojanak-ismet-nincsen-parja/;Schwarzenegger autójának ismét nincsen párja;Nagyvilág;Aktuális;;Aktuális;
42;https://www.alapjarat.hu/hasznos-infok/az-akkumulatorok-es-a-hideg-orok-harca/;Az akkumulátorok és a hideg örök harca;Hasznos infók;Hasznos infók;;Hasznos infók;
43;https://www.alapjarat.hu/tech/8-sleeper-amit-nem-art-ha-ismersz/;8 sleeper, amit nem árt, ha ismersz;Tech;El Mondó;;Top;
44;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/eloterben-a-design-tokioi-autoszalon/;Előtérben a design: Tokiói Autószalon;Nagyvilág;Aktuális;;Aktuális;
45;https://www.alapjarat.hu/hasznos-infok/drogok-hatasa-a-vezetesre-1-resz-marihuana/;Drogok hatása a vezetésre 1. rész - Marihuána;Hasznos infók;Hasznos infók;;Hasznos infók;
46;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/2020-ra-megerkezik-a-hibrid-vw-golf-gti/;2020-ra megérkezik a hibrid VW Golf GTI;Nagyvilág;Tech;Aktuális;Tech,Aktuális;
47;https://www.alapjarat.hu/tech/az-audi-rs6-generaciok/;Az Audi RS6 generációk;Tech;El Mondó;;Sztori;
48;https://www.alapjarat.hu/tech/8-olcson-hozzaferheto-drift-auto/;8 olcsón hozzáférhető drift autó;Tech;El Mondó;;Top;
49;https://www.alapjarat.hu/hasznos-infok/drogok-hatasa-a-vezetesre-2-resz-amfetaminok/;Drogok hatása a vezetésre 2. rész - Amfetaminok;Hasznos infók;Hasznos infók;;Hasznos infók;
50;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/top-100-europa-legnepszerubb-autoi-2016/;Top 100 - Európa legnépszerűbb autói 2016;Nagyvilág;El Mondó;;Top;
51;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/a-toyota-is-bedobja-a-torulkozot-ausztraliaban/;A Toyota is bedobja a törülközőt Ausztráliában;Nagyvilág;Aktuális;;Aktuális;
52;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/az-elnyuhetetlen-mercedes-w124/;Az elnyűhetetlen Mercedes W124;Nagyvilág;El Mondó;;Sztori;
53;https://www.alapjarat.hu/media/videok/erkezik-a-dirt-4-trailer/;Érkezik a Dirt 4 - Trailer;Videók;Média;Aktuális;Aktuális,Videók;
54;https://www.alapjarat.hu/hasznos-infok/vedekezz-az-autolopas-ellen-na-de-hogyan/;Védekezz az autólopás ellen - na de hogyan?;Hasznos infók;Aktuális;;Aktuális;
55;https://www.alapjarat.hu/media/videok/ha-egy-jo-filmet-akarsz-hajsza-a-gyozelemert/;Ha egy jó filmet akarsz: Hajsza a győzelemért;Videók;Média;;Videók;
56;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/megvaltoztatta-a-nevet-a-tesla-motors/;Megváltoztatta a nevét a Tesla Motors;Nagyvilág;Aktuális;Tech;Aktuális,Tech;
57;https://www.alapjarat.hu/tech/a-rally-legfelelmetesebb-korszaka-group-b/;A rally legfélelmetesebb korszaka - Group B;Verseny;Rajtrács;;Sporthírek;
58;https://www.alapjarat.hu/tech/8-erdekes-auto-belter/;8 érdekes autó beltér;Tech;El Mondó;;Top;
59;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/egyuttmukodhet-a-toyota-es-a-suzuki/;Együttműködhet a Toyota és a Suzuki;Nagyvilág;Aktuális;;Aktuális;
60;https://www.alapjarat.hu/media/kepek/heti-autos-kepgyujtemeny/;Heti autós képgyűjtemény;Képek;Média;Aktuális;Képek,Aktuális;
61;https://www.alapjarat.hu/media/videok/4-video-amiket-nem-hagyhatsz-ki-a-heten/;4 videó, amiket nem hagyhatsz ki a héten;Videók;Aktuális;Média;Aktuális,Videók;
62;https://www.alapjarat.hu/tech/sorhat-vs-v6/;Sorhat Vs V6;Tech;Tech;;Tech;
63;https://www.alapjarat.hu/media/kepek/autos-kepgyujtemeny-2/;Autós képgyűjtemény 2.;Képek;Média;Aktuális;Aktuális,Képek;
64;https://www.alapjarat.hu/hasznos-infok/indul-mediatar-rovatunk/;Indul Médiatár rovatunk!;Hasznos infók;Aktuális;;Aktuális;
65;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/egy-kis-darabka-anglia-93-as-mini-mayfair/;Egy kis darabka Anglia: '93-as Mini Mayfair;Nagyvilág;El Mondó;;Sztori;
66;https://www.alapjarat.hu/verseny/wrc-latlava-es-a-toyota-tortenelmi-gyozelme/;WRC - Latvala és a Toyota történelmi győzelme;Verseny;Rajtrács;;Sporthírek;
67;https://www.alapjarat.hu/tech/a-quattro-elso-25-eve-az-otlet/;A Quattro első 25 éve – Az ötlet;Tech;Tech;;Tech;
68;https://www.alapjarat.hu/verseny/bartosz-ostalowski-a-ficko-aki-labbal-vezet/;Bartosz Ostalowski - A fickó, aki lábbal vezet!;Verseny;Rajtrács;;Sporthírek;
69;https://www.alapjarat.hu/tech/hoban-csapattak-a-lucid-elektromos-szedanjaval/;Hóban csapattak a Lucid elektromos szedánjával;Tech;Aktuális;;Aktuális;
70;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/a-japan-tuning-kultura-mennyorszaga/;A japán tuning kultúra mennyországa;Nagyvilág;Tuning;;Tuning;
71;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/az-uj-aston-martin-db11-kepek-a-teli-tesztelesrol/;Az új Aston Martin DB11 - képek a téli tesztelésről;Teszt;Aktuális;Média;Aktuális;
72;https://www.alapjarat.hu/nagyvilag-bulvar/bulvar/ujabb-botrany-az-uber-nel/;Újabb botrány az Uber-nél;Bulvár;Aktuális;;Aktuális;
73;https://www.alapjarat.hu/verseny/a-fia-szerint-tul-gyorsak-a-2017-es-wrc-k/;A FIA szerint túl gyorsak a 2017-es WRC-k;Verseny;Rajtrács;;Sporthírek;
74;https://www.alapjarat.hu/tech/a-vilag-9-leggyorsabb-szarazfoldi-jarmuvei/;A világ 8+1 leggyorsabb szárazföldi járműve;Tech;El Mondó;;Top;
75;https://www.alapjarat.hu/tech/a-quattro-elso-25-eve-az-epitok/;A Quattro első 25 éve - Az építők;Tech;Tech;;Tech;
76;https://www.alapjarat.hu/nagyvilag-bulvar/bulvar/rizsfozo-szett-az-a8-ban/;Rizsfőző szett az A8-ban;Bulvár;Aktuális;;Aktuális;
77;https://www.alapjarat.hu/tech/hasznos-autos-applikaciok-8-kategoriaban/;Hasznos autós applikációk - 8 kategóriában;Tech;Tech;;Tech;
78;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/a-drift-nagykovete-keiichi-tsuchiya/;A drift nagykövete: Keiichi Tsuchiya;Nagyvilág;Aktuális;;Aktuális;
79;https://www.alapjarat.hu/verseny/f1-2017-fotokon-a-ferrari-es-a-mclaren-frissen-bemutatott-autoja/;F1 2017 - Fotókon a Ferrari és a McLaren frissen bemutatott autója!;Verseny;Rajtrács;;F1;
80;https://www.alapjarat.hu/hasznos-infok/hvg-allasborze-9-kiallito-az-autoiparbol/;HVG Állásbörze – 9 kiállító az autóiparból;Hasznos infók;Aktuális;;Aktuális;
81;https://www.alapjarat.hu/hasznos-infok/itt-az-elso-magyarorszagi-karbejelento-app/;Itt az első magyarországi kárbejelentő app!;Hasznos infók;Hasznos infók;Tech;Hasznos infók,Tech;
82;https://www.alapjarat.hu/media/kepek/jatek-felismered-az-osszes-automarka-logojat/;Játék - Felismered az összes autómárka logóját?;Képek;Média;Aktuális;Aktuális,Képek;
83;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/hajszaritoval-fekezik-meg-a-gyorshajtokat-a-skotok/;Hajszárítóval fékezik meg a gyorshajtókat a skótok;Nagyvilág;Aktuális;;Aktuális;
84;https://www.alapjarat.hu/tech/meglepetes-az-unnepelttol-30-eves-az-ac-schnitzer/;Meglepetés az ünnepelttől - 30 éves az AC Schnitzer;Tech;Tech;;Tech;
85;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/a-rover-tortenete/;A Rover történetének 5 állomása;Nagyvilág;El Mondó;;Sztori;
86;https://www.alapjarat.hu/genfi-autoszalon-2017/uj-elektromos-szupersportauto-dendrobium/;Új elektromos szupersportautó: Dendrobium;Genfi Autószalon 2017;Tech;Aktuális;Tech,Aktuális;
87;https://www.alapjarat.hu/tech/a-quattro-elso-25-eve-a-technika/;A Quattro első 25 éve - A technika;Tech;Tech;;Tech;
88;https://www.alapjarat.hu/hasznos-infok/adac-a-legaktualisabb-nyari-gumi-teszt/;ADAC: aktuális nyári gumi teszt;Hasznos infók;Hasznos infók;;Hasznos infók;
89;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/udv-porsche-panamera-sport-turismo/;Üdv, Porsche Panamera Sport Turismo!;Nagyvilág;Aktuális;;Aktuális;
90;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/a-dizelmotor-tortenete-a-kezdetek/;A dízelmotor története – A kezdetek;Nagyvilág;El Mondó;;Sztori;
91;https://www.alapjarat.hu/nagyvilag-bulvar/bulvar/a-skotok-hajszaritos-modszere-itthon-is-bevalt/;A skótok hajszárítós módszere itthon is bevált;Bulvár;Aktuális;;Aktuális;
92;https://www.alapjarat.hu/media/kepek/jatek-10-ritka-de-erdekes-auto/;Játék - 10 ritka, de érdekes autó!;Képek;El Mondó;Média;Top,Képek;
93;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/az-ev-autoja-2017-ben-nem-mas-mint-a/;Az Év Autója 2017-ben nem más, mint a…;Nagyvilág;Aktuális;;Aktuális;
94;https://www.alapjarat.hu/tech/az-elso-3-chiron-elhagyta-a-molsheim-i-gyarat/;Az első 3 Chiron elhagyta a Molsheim-i gyárat;Tech;Aktuális;;Aktuális;
95;https://www.alapjarat.hu/tech/a-quattro-elso-25-eve-az-autok/;A Quattro első 25 éve - Az autók;Tech;Tech;;Tech;
96;https://www.alapjarat.hu/egyeb/boldog-nonapot/;Boldog Nőnapot!;Egyéb;Aktuális;;Aktuális;
97;https://www.alapjarat.hu/tech/uj-motort-fejlesztettek-a-gyori-audinal/;Új motort fejlesztettek a győri Audinál;Tech;Aktuális;;Aktuális;
98;https://www.alapjarat.hu/genfi-autoszalon-2017/nyero-formak-a-genfi-autoszalonrol/;Nyerő formák a Genfi Autószalonról;Genfi Autószalon 2017;Aktuális;;Aktuális;
99;https://www.alapjarat.hu/tech/a-dizelmotor-tortenete-szivodizel-common-rail-rendszerek/;A dízelmotor története - szívódízel, common rail rendszerek;Tech;Tech;;Tech;
100;https://www.alapjarat.hu/tech/az-automata-valtok-100-eve/;Az automata váltók 100 éve;Tech;Tech;;Tech;
101;https://www.alapjarat.hu/nagyvilag-bulvar/bulvar/figyeld-figyeld-normalis/;„Figyeld, figyeld! Normális?”;Bulvár;Aktuális;;Aktuális;
102;https://www.alapjarat.hu/genfi-autoszalon-2017/durva-meregzsak-keszul-a-toyotanal/;Durva méregzsák készül a Toyotánál;Genfi Autószalon 2017;Aktuális;;Aktuális;
103;https://www.alapjarat.hu/tech/8-motor-amit-minden-autorajongo-imad-ii/;8 motor, amit minden autó rajongó imád II.;Tech;El Mondó;;Top;
104;https://www.alapjarat.hu/tech/megujul-az-a-osztaly-a-mercedesnel-2018-ra/;Megújul az A-osztály a Mercedesnél 2018-ra;Tech;Aktuális;;Aktuális;
105;https://www.alapjarat.hu/tech/bmw-x6-m50d-teszt/;A behemót: BMW X6 M50d - Teszt;Teszt;Autóteszt;;Új autók tesztje;
106;https://www.alapjarat.hu/tech/a-quattro-elso-25-eve-a-sport/;A Quattro első 25 éve – A sport;Tech;Tech;;Tech;
107;https://www.alapjarat.hu/genfi-autoszalon-2017/81-extrem-gep-genfbol/;8+1 extrém gép Genfből;Genfi Autószalon 2017;Aktuális;;Aktuális;
108;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/nalunk-jart-az-autosajto-foszerkesztoje-interju/;Nálunk járt az Autósajtó főszerkesztője - Interjú;Nagyvilág;Aktuális;;Aktuális;
109;https://www.alapjarat.hu/tech/8-versenylegenda-amit-mindenkepp-ismerned-kell/;8 versenylegenda, amit mindenképp ismerned kell;Tech;El Mondó;;Top;
110;https://www.alapjarat.hu/tech/automobil-tuning-show-most-hetvegen/;AutoMobil & Tuning Show most hétvégén!;Tech;Aktuális;;Aktuális;
111;https://www.alapjarat.hu/verseny/2017-eddigi-legmenobb-drift-rovidfilmje/;2017 eddigi legmenőbb drift rövidfilmje;Verseny;Aktuális;;Aktuális;
112;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/a-sved-saab-64-evenek-tortenete/;A svéd Saab 64 évének története;Nagyvilág;El Mondó;;Sztori;
113;https://www.alapjarat.hu/tech/itt-az-elektromos-citroen-e-berlingo/;Itt az elektromos Citroën E-Berlingo;Tech;Aktuális;Tech;Aktuális,Tech;
114;https://www.alapjarat.hu/teszt/a-luxuscirkalo-mercedes-s350d-teszt/;A luxuscirkáló: Mercedes S350d - Teszt;Teszt;Autóteszt;;Új autók tesztje;
115;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/745-loeros-roadster-mutatkozik-be-sanghajban/;745 lóerős roadster mutatkozik be Sanghajban;Nagyvilág;Aktuális;;Aktuális;
116;https://www.alapjarat.hu/tech/a-quattro-elso-25-eve-a-reklam/;A Quattro első 25 éve – A reklám;Tech;Tech;;Tech;
117;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/sportautok-f1-es-gunyaban/;Sportautók F1-es gúnyában!;Nagyvilág;Rajtrács;;F1;
118;https://www.alapjarat.hu/egyeb/ellopott-bbs-rf-felniket-keresunk/;Ellopott BBS RF felniket keresünk!;Egyéb;Aktuális;;Aktuális;
119;https://www.alapjarat.hu/tech/videon-a-chiron-tesztjei-es-gyorsulasa-kozuton/;Videón a Chiron tesztjei és gyorsulása közúton;Tech;Aktuális;;Aktuális;
120;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/amts-07-alapjarati-szemszogbol/;AMTS 2017 - Alapjárati szemszögből;Nagyvilág;Aktuális;;Aktuális;
121;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/a-golfozas-elengedhetetlen-kelleke-a-golfauto/;A golfozás elengedhetetlen kelléke: a golfautó;Nagyvilág;Aktuális;;Aktuális;
122;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/igy-repked-27-tonna-havana-utcain/;Így repked 2,7 tonna Havana utcáin!;Nagyvilág;Aktuális;;Aktuális;
123;https://www.alapjarat.hu/hasznos-infok/kozteres-kamerafelvetelek-alapjan-nincs-szankcio/;Közteres kamerafelvételek alapján nincs szankció;Hasznos infók;Aktuális;;Aktuális;
124;https://www.alapjarat.hu/tech/hogyan-tervezi-a-bmw-a-jovot/;Hogyan tervezi a BMW a jövőt?;Tech;Tech;;Tech;
125;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/a-jaguar-ujraeleszti-a-60-as-e-type-ot/;A Jaguar újraéleszti a ’60-as E-Type-ot;Nagyvilág;Aktuális;;Aktuális;
126;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/300-loeros-renault-megane-rs-erkezik-jovore/;300 lóerős Renault Mégane RS érkezik jövőre;Nagyvilág;Aktuális;;Aktuális;
127;https://www.alapjarat.hu/nagyvilag-bulvar/bulvar/halalos-iramban-8-elozetes/;Halálos Iramban 8. - részlet;Bulvár;Aktuális;;Aktuális;
128;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/amts-2017-videos-osszefoglalo-az-autocsodakrol/;AMTS 2017: Videós összefoglaló az autócsodákról!;Videók;Média;Aktuális;Aktuális,Videók;
129;https://www.alapjarat.hu/genfi-autoszalon-2017/a-sypker-hibrid-suv-ot-keszit/;A Spyker hibrid SUV-ot készít;Genfi Autószalon 2017;Aktuális;;Aktuális;
130;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/aprilisi-trefak-az-autok-vilagabol/;Áprilisi tréfák az autók világából;Nagyvilág;Aktuális;;Aktuális;
131;https://www.alapjarat.hu/tech/8-hot-hatch-amit-ismerned-kell/;8 hot hatch, amit ismerned kell;Tech;El Mondó;;Top;
132;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/amts-2017-kepgaleria-a-nyitonaprol/;AMTS 2017: Képgaléria a nyitónapról!;Nagyvilág;Aktuális;;Aktuális;
133;https://www.alapjarat.hu/teszt/a-stilusos-tank-range-rover-evoque-teszt/;A stílusos tank: Range Rover Evoque - Teszt;Teszt;Autóteszt;;Új autók tesztje;
134;https://www.alapjarat.hu/tech/furcsa-kulonut-a-motorok-kozott-wankel-motor/;Furcsa különút a motorok között: Wankel-motor;Tech;Tech;;Tech;
135;https://www.alapjarat.hu/tech/uj-technologiaval-gyartja-az-audi-a8-kasztnijat/;Új technológiával gyártja az Audi A8 kasztniját;Tech;Tech;;Tech;
136;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/ujra-kaphato-lesz-a-citroen-h-retro-furgon/;Újra kapható lesz a Citroën H retró furgon;Nagyvilág;Aktuális;;Aktuális;
137;https://www.alapjarat.hu/tech/haborus-technologia-az-autoban-head-up-display/;Háborús technológia az autóban: head-up display;Tech;Tech;;Tech;
138;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/nurburgringen-teszteltek-a-jaguar-e-pace-t/;Nürburgringen tesztelték a Jaguar E-Pace-t;Nagyvilág;Aktuális;;Aktuális;
139;https://www.alapjarat.hu/nagyvilag-bulvar/bulvar/rendhagyo-baleset-dunaharasztin/;Rendhagyó baleset Dunaharasztin;Bulvár;Aktuális;;Aktuális;
140;https://www.alapjarat.hu/hasznos-infok/zokkenomentes-gepjarmu-atiras-veszelyek-szabalyok/;Gépjármű-átírás: egy precizitást igénylő művelet;Hasznos infók;Hasznos infók;;Hasznos infók;
141;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/az-alfa-romeo-stelvio-uj-variansa-erkezik/;Az Alfa Romeo Stelvio új variánsa érkezik;Nagyvilág;Aktuális;;Aktuális;
142;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/lotus-evora-gp-edition-tisztelges-a-nagyok-elott/;Lotus Evora GP Edition: tisztelgés a nagyok előtt;Nagyvilág;Aktuális;;Aktuális;
143;https://www.alapjarat.hu/verseny/nurburgring-a-zold-pokol/;Nürburgring – a Zöld Pokol;Verseny;Rajtrács;;Sporthírek;
144;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/a-ford-2-plug-in-hibridet-szan-a-kinai-piacra/;A Ford 2 plug-in hibridet szán a kínai piacra;Nagyvilág;Tech;Aktuális;Tech,Aktuális;
145;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/porsche-macan-gts-vs-jaguar-f-pace-s/;Porsche Macan GTS vs Jaguar F-Pace S;Nagyvilág;Aktuális;;Aktuális;
146;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/egy-igazi-angol-sportautomarka-lotus/;Egy igazi angol sportautómárka: Lotus;Nagyvilág;El Mondó;;Sztori;
147;https://www.alapjarat.hu/hasznos-infok/a-tolvajok-most-a-xiii-keruletben-akcioztak/;A tolvajok most a XIII. kerületben akcióztak;Hasznos infók;Aktuális;;Aktuális;
148;https://www.alapjarat.hu/media/kepek/old-motors-veteranvasar-galeria/;Old Motors Veteránvásár - Galéria;Képek;Média;Aktuális;Aktuális,Képek;
149;https://www.alapjarat.hu/tech/8-elfeledett-szuperauto/;8 elfeledett szuperautó;Tech;El Mondó;;Top;
150;https://www.alapjarat.hu/tech/mi-is-az-a-katalizator/;Mi is az a katalizátor?;Tech;Tech;;Tech;
151;https://www.alapjarat.hu/verseny/interju-kerenyi-adam-driftversenyzovel/;Interjú Kerényi Ádám driftversenyzővel;Verseny;Rajtrács;;Sporthírek;
152;https://www.alapjarat.hu/teszt/lazasag-szuksegeltetik-vw-beetle-cabriolet-teszt/;Lazaság szükségeltetik: VW Beetle Cabriolet - Teszt;Teszt;Autóteszt;;Új autók tesztje;
153;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/ket-szupersportautot-mutat-be-a-mclaren-shanghaiban/;Két szupersportautót mutat be a McLaren Shanghaiban;Nagyvilág;Aktuális;;Aktuális;
154;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/a-vw-t-roc-r-lehet-a-seat-ateca-cupra-kihivoja/;A VW T-Roc R lehet a Seat Ateca Cupra kihívója;Nagyvilág;Aktuális;;Aktuális;
155;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/vilag-szinten-ez-a-legszebb-auto-jelenleg/;Világszinten ez a legszebb autó 2017-ben;Nagyvilág;Aktuális;;Aktuális;
156;https://www.alapjarat.hu/tech/a-mercedes-amg-project-one-t-mar-tesztelik/;A Mercedes-AMG Project One-t már tesztelik;Tech;Tech;Aktuális;Tech,Aktuális;
